crate_name,category,text,id,count
packed_simd_2,foreign_functions,"codegen::v256::u64x4",5,1
packed_simd_2,foreign_functions,"codegen::v512::u64x8",5,1
packed_simd_2,foreign_functions,"codegen::v128::u128x1",5,1
packed_simd_2,foreign_functions,"codegen::v256::u128x2",5,1
packed_simd_2,foreign_functions,"codegen::v512::u128x4",5,1
packed_simd_2,foreign_functions,"codegen::v64::f32x2",5,1
packed_simd_2,foreign_functions,"codegen::v128::f32x4",5,1
packed_simd_2,foreign_functions,"codegen::v256::f32x8",5,1
packed_simd_2,foreign_functions,"codegen::v512::f32x16",5,1
packed_simd_2,foreign_functions,"codegen::v128::f64x2",5,1
packed_simd_2,foreign_functions,"codegen::v256::f64x4",5,1
packed_simd_2,foreign_functions,"codegen::v512::f64x8",5,1
wasmcloud-fs,rust_functions,"dyn wasmcloud_provider_core::CapabilityProvider",14,1
nfc,foreign_functions,"[i8; 1024]",8,1
mesh-portal-versions,foreign_functions,"std::string::String",5,1
truncnorm,foreign_functions,"u128",3,1
lua52-sys,foreign_functions,"lua_State",5,1
fluidsynth,foreign_functions,"fn(*mut libc::c_void, *mut ffi::Struct__fluid_midi_event_t) -> i32",13,1
fluidsynth,foreign_functions,"fn(*mut libc::c_void, u32, *mut ffi::Struct__fluid_event_t, *mut ffi::Struct__fluid_sequencer_t)",13,1
mpc,foreign_functions,"mpc_c_types::mpc_parser_t",5,1
mpc,foreign_functions,"char",1,1
libsweep,foreign_functions,"SweepError",5,1
libsweep,foreign_functions,"SweepDevice",5,1
libsweep,foreign_functions,"SweepScan",5,1
vigem-sys,foreign_functions,"u128",3,1
ark-api-ffi,foreign_functions,"u128",3,1
ark-api-ffi,foreign_functions,"char",1,1
eosio_cdt_sys,foreign_functions,"u128",3,1
eosio_cdt_sys,foreign_functions,"i128",2,1
blis-sys,foreign_functions,"u128",3,1
cl-sys,foreign_functions,"char",1,1
lucet-runtime-internals,foreign_functions,"std::arch::x86_64::__m128",5,1
solana-accountsdb-plugin-postgres,rust_functions,"dyn solana_accountsdb_plugin_interface::accountsdb_plugin_interface::AccountsDbPlugin",14,1
gaborator-sys,foreign_functions,"[()]",9,1
sapp-linux,rust_functions,"str",7,1
lapacke-sys,foreign_functions,"[f32; 2]",8,1
