crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,num_duplicates
spritz_cipher,0.1.0,c_check::compare_arduino,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.","LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",1
stack_epic_keychain,3.4.2,extkey_bip32::tests::test_vector_1,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",2
stack_epic_keychain,3.4.2,types::test::split_blinding_factor,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",3
stack_test_epic_keychain,3.0.3,extkey_bip32::tests::test_vector_2,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",1
stack_test_epic_keychain,3.0.3,types::test::zero_key_addition,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",4
tarantool,2.0.0,decimal::test::to_num,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",read access through <> is forbidden,1
tarantool,2.0.0,decimal::test::from_num,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",3
tetsy-secp256k1,0.7.0,key::test::pubkey_add,0,1,1,LLI interoperation error,LLI interoperation error,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,1
twmap,0.10.0,editor_map_bin_eq,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",read access through <> is forbidden,5
twmap,0.10.0,dm1_dir,0,1,124,Undefined Behavior,Timeout,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",NA,2
vapkey-cli,0.1.0,tests::info,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a write access using <> at alloc[0x0], but that tag only grants SharedReadOnly permission for this location",write access through <> is forbidden,2
xs233,0.3.0,xsk233::tests::mul,0,1,1,LLI interoperation error,LLI interoperation error,"Unsupported LLVM Type: { i8, i64 }","Unsupported LLVM Type: { i8, i64 }",1
xyz,0.2.1,writing,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x18], but that tag does not exist in the borrow stack for this location",NA,1
